Epoch,Freqs,Fluxes,Fluxerr
25.2,8.5,743.0,39.0
27.3,22.5,3179.0,85.0
27.3,8.5,810.0,63.0
28.3,8.5,848.0,65.0
28.3,22.5,3119.0,86.0
29.4,22.5,3122.0,75.0
29.4,8.5,966.0,60.0
30.3,22.5,3080.0,86.0
30.3,8.5,1051.0,62.0
31.2,22.5,3252.0,70.0
31.2,8.5,947.0,52.0
32.3,8.5,883.0,53.0
32.3,22.5,2973.0,99.0
33.3,15.0,2287.0,121.0
36.3,8.5,1147.0,47.0
38.3,8.5,1211.0,39.0
41.6,15.0,2686.0,156.0
41.6,8.5,1483.0,76.0
41.6,22.5,2956.0,96.0
44.5,22.5,2684.0,124.0
44.5,8.5,1448.0,62.0
44.5,15.0,2753.0,153.0
46.4,8.5,1413.0,55.0
46.4,15.0,2719.0,144.0
48.4,8.5,1546.0,45.0
52.3,22.5,2714.0,68.0
52.3,15.0,3014.0,137.0
53.3,8.5,1854.0,41.0
55.3,22.5,2838.0,99.0
55.3,8.5,1969.0,53.0
55.3,15.0,2799.0,149.0
56.3,15.0,2865.0,131.0
60.3,8.5,2283.0,51.0
60.3,15.0,2924.0,132.0
65.3,22.5,2263.0,73.0
65.3,4.9,848.0,64.0
66.4,22.5,2486.0,66.0
66.4,15.0,2857.0,123.0
66.4,8.5,2351.0,47.0
68.3,8.5,2081.0,52.0
68.3,15.0,2966.0,115.0
72.4,22.5,2422.0,70.0
72.4,8.5,2527.0,52.0
72.4,15.0,2901.0,150.0
75.4,8.5,2673.0,57.0
75.4,15.0,3055.0,173.0
78.3,22.5,2130.0,223.0
78.3,8.5,2422.0,61.0
81.3,8.5,2500.0,43.0
81.3,15.0,2664.0,118.0
85.4,8.5,2776.0,51.0
85.4,22.5,1833.0,100.0
90.2,8.5,2551.0,54.0
91.1,22.5,1819.0,141.0
99.4,15.0,2581.0,320.0
119.0,8.5,2532.0,75.0
119.0,22.5,1078.0,173.0
122.1,22.5,1327.0,114.0
122.1,8.5,2534.0,80.0
135.3,15.0,1925.0,282.0
135.3,22.5,1146.0,165.0
135.3,8.5,2455.0,96.0
147.0,4.9,1989.0,41.0
147.0,22.5,941.0,161.0
147.0,15.0,1452.0,235.0
147.0,8.5,2200.0,47.0
154.0,4.9,2410.0,114.0
154.0,8.5,2151.0,77.0
167.1,4.9,2555.0,83.0
167.1,15.0,1279.0,226.0
167.1,8.5,2210.0,68.0
181.1,8.5,2262.0,63.0
189.0,4.9,2485.0,90.0
189.0,15.0,1135.0,125.0
189.0,8.5,2075.0,61.0
204.0,8.5,2048.0,66.0
204.0,15.0,1177.0,166.0
204.0,4.9,2380.0,81.0
222.9,22.5,670.0,148.0
226.8,8.5,1646.0,74.0
226.8,15.0,824.0,237.0
226.8,4.9,2346.0,84.0
257.7,15.0,768.0,165.0
257.7,8.5,1151.0,53.0
257.7,4.9,2177.0,87.0
278.6,8.5,1244.0,58.0
278.6,4.9,2140.0,40.0
283.7,15.0,612.0,122.0
283.7,8.5,1176.0,45.0
283.7,4.9,2177.0,79.0
299.7,15.0,520.0,124.0
299.7,4.9,1937.0,70.0
299.7,8.5,1200.0,42.0
304.7,8.5,1115.0,55.0
317.6,8.5,1075.0,52.0
317.6,4.9,1713.0,73.0
328.5,15.0,148.0,148.0
328.5,8.5,981.0,49.0
328.5,4.9,1689.0,67.0
339.6,15.0,506.0,149.0
339.6,8.5,961.0,42.0
339.6,4.9,1980.0,69.0
390.4,8.5,714.0,38.0
403.3,8.5,863.0,42.0
430.4,4.9,1281.0,42.0
444.2,8.5,668.0,30.0
476.0,15.0,125.0,137.0
506.0,22.5,280.0,53.0
573.0,8.5,592.0,48.0
